LINEA;ID;COBROS
AGRO;CEQ146334;9,036.77
AGRO;CEQ146335;30,632.81
AGRO;CEQ146336;15,546.61
AGRO;CEQ146337;23,120.11
AGRO;CEQ146338;6,752.98
AGRO;CEQ146339;3,418.16
AGRO;CEQ146340;62,632.43
AGRO;CEQ146341;7,342.52
AGRO;CEQ146342;5,668.38
AGRO;CEQ146343;7,179.08
AGRO;CEQ146344;16,422.11
AGRO;CEQ146345;17,865.15
AGRO;CEQ146346;4,873.67
AGRO;CEQ146347;6,182.76
AGRO;CEQ146348;8,583.03
AGRO;CEQ146349;31,545.99
AGRO;CEQ146350;37,183.26
AGRO;CEQ146351;15,336.65
AGRO;CEQ146352;14,994.17
AGRO;CEQ146353;5,447.41
AGRO;CEQ146354;24,762.18
AGRO;CEQ146355;51,773.16
AGRO;CEQ146356;57,282.59
AGRO;CEQ146357;16,648.03
AGRO;CEQ146358;15,181.47
AGRO;CEQ146359;55,685.31
AGRO;CEQ146360;21,274.52
AGRO;CEQ146361;3,493.72
AGRO;CEQ146362;59,454.17
AGRO;CEQ146363;69,478.64
AGRO;CEQ146364;31,492.91
AGRO;CEQ146365;68,558.15
AGRO;CEQ146366;3,742.97
AGRO;CEQ146367;22,564.97
AGRO;CEQ146368;6,842.70
AGRO;CEQ146369;1,891.03
AGRO;CEQ146370;10,291.44
AGRO;CEQ146371;7,877.38
AGRO;CEQ146372;8,893.22
AGRO;CEQ146373;42,996.00
AGRO;CEQ146374;3,201.66
AGRO;CEQ146375;2,617.65
AGRO;CEQ146376;25,199.63
AGRO;CEQ146377;14,965.67
AGRO;CEQ146378;4,427.02
AGRO;CEQ146379;30,966.85
AGRO;CEQ146380;10,626.33
AGRO;CEQ146381;34,532.18
AGRO;CEQ146382;30,235.95
AGRO;CEQ146383;20,905.95
AGRO;CEQ146384;11,208.04
AGRO;CEQ146385;16,430.97
AGRO;CEQ146386;64,930.68
AGRO;CEQ146387;7,649.75
AGRO;CEQ146388;9,346.48
AGRO;CEQ146389;56,717.91
AGRO;CEQ146390;14,168.03
AGRO;CEQ146391;5,950.67
AGRO;CEQ146392;134.65
AGRO;CEQ146393;8,942.57
AGRO;CEQ146394;5,660.15
AGRO;CEQ146395;686.67
AGRO;CEQ146396;8,058.66
AGRO;CEQ146397;4,061.98
AGRO;CEQ146398;33,122.99
AGRO;CEQ146399;10,119.89
AGRO;CEQ146400;48,692.69
AGRO;CEQ146401;253,204.13
AGRO;CEQ146402;5,895.94
AGRO;CEQ146403;3,165.69
AGRO;CEQ146404;14,034.99
AGRO;CEQ146405;1,914.31
AGRO;CEQ146406;12,649.29
AGRO;CEQ146407;5,042.05
AGRO;CEQ146408;29,746.00
AGRO;CEQ146409;10,198.37
AGRO;CEQ146410;35,024.09
AGRO;CEQ146411;19,752.55
AGRO;CEQ146412;193,225.72
AGRO;CEQ146413;46,132.54
AGRO;CEQ146414;7,507.61
AGRO;CEQ146415;25,856.86
AGRO;CEQ146416;29,733.13
AGRO;CEQ146417;21,840.47
AGRO;CEQ146418;23,353.08
AGRO;CEQ146419;9,025.09
AGRO;CEQ146420;67,096.53
AGRO;CEQ146421;54,052.97
AGRO;CEQ146422;36,908.20
AGRO;CEQ146423;11,564.66
AGRO;CEQ146424;15,720.59
AGRO;CEQ146425;17,746.97
AGRO;CEQ146426;33,872.50
AGRO;CEQ146427;17,104.92
AGRO;CEQ146428;26,178.03
AGRO;CEQ146429;23,563.84
AGRO;CEQ146430;9,560.04
AGRO;CEQ146431;10,473.50
AGRO;CEQ146432;13,967.41
AGRO;CEQ146433;8,083.52
AGRO;CEQ146434;1,045.89
AGRO;CEQ146435;3,000.00
AGRO;CEQ146436;19,444.20
AGRO;CEQ146437;3,890.97
AGRO;CEQ146438;308.94
AGRO;CEQ146439;2,445.69
AGRO;CEQ146440;2,078.33
AGRO;CEQ146441;3,002.69
AGRO;CEQ146442;520.73
AGRO;CEQ146443;3,015.15
AGRO;CEQ146444;230.00
AGRO;CEQ146445;6,188.04
